"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 21, 2022","86.23","84.77","92.38","83.18","4.44M","1.73%"
"Mar 20, 2022","84.76","89.56","89.95","84.41","2.98M","-5.36%"
"Mar 19, 2022","89.56","85.67","92.27","85.64","3.49M","4.60%"
"Mar 18, 2022","85.62","79.37","86.86","76.51","293.56M","7.87%"
"Mar 17, 2022","79.37","74.10","81.70","73.17","283.11M","7.11%"
"Mar 16, 2022","74.10","69.83","74.70","68.10","189.26M","6.11%"
"Mar 15, 2022","69.83","68.99","72.12","66.12","157.32M","1.22%"
"Mar 14, 2022","68.99","67.93","71.47","65.57","199.08M","1.56%"
"Mar 13, 2022","67.93","70.92","71.96","67.29","85.22M","-4.27%"
"Mar 12, 2022","70.96","71.17","73.55","70.91","84.96M","-0.30%"
"Mar 11, 2022","71.17","73.93","76.85","70.86","235.61M","-3.73%"
"Mar 10, 2022","73.93","77.57","78.97","71.63","186.88M","-4.69%"
"Mar 09, 2022","77.57","73.05","80.39","72.36","258.24M","6.19%"
"Mar 08, 2022","73.05","71.68","76.50","71.34","222.52M","1.78%"
"Mar 07, 2022","71.77","72.48","76.48","70.45","179.08M","-0.98%"
"Mar 06, 2022","72.48","76.65","77.03","72.13","144.86M","-5.44%"
"Mar 05, 2022","76.65","75.79","78.64","73.42","152.03M","1.20%"
"Mar 04, 2022","75.74","78.50","82.11","75.01","302.60M","-3.69%"
"Mar 03, 2022","78.64","83.34","84.27","77.20","3.10M","-5.65%"
"Mar 02, 2022","83.34","86.84","89.87","82.52","3.25M","-4.03%"
"Mar 01, 2022","86.84","84.65","90.75","83.75","4.82M","2.58%"
"Feb 28, 2022","84.66","75.06","85.82","71.86","4.23M","12.79%"
"Feb 27, 2022","75.06","81.71","82.31","73.15","3.52M","-8.13%"
"Feb 26, 2022","81.70","81.00","84.86","78.21","3.00M","0.87%"
"Feb 25, 2022","81.00","76.49","81.89","72.74","4.11M","5.89%"
"Feb 24, 2022","76.49","73.43","79.87","64.51","8.25M","4.17%"
"Feb 23, 2022","73.43","74.46","82.35","73.31","3.76M","-1.38%"
"Feb 22, 2022","74.46","70.00","74.88","67.34","3.20M","6.37%"
"Feb 21, 2022","70.00","77.35","82.62","69.56","3.83M","-9.50%"
"Feb 20, 2022","77.35","85.05","85.68","76.58","1.99M","-9.06%"
"Feb 19, 2022","85.05","83.69","86.31","81.05","1.70M","1.64%"
"Feb 18, 2022","83.68","88.30","89.92","82.56","2.55M","-5.24%"
"Feb 17, 2022","88.30","95.08","98.59","86.40","3.43M","-7.12%"
"Feb 16, 2022","95.08","92.97","97.19","91.61","3.12M","2.27%"
"Feb 15, 2022","92.97","81.97","93.62","81.45","2.50M","13.42%"
"Feb 14, 2022","81.97","77.89","82.56","76.22","1.65M","5.24%"
"Feb 13, 2022","77.89","81.29","83.27","77.59","1.30M","-3.99%"
"Feb 12, 2022","81.12","81.77","84.73","78.86","2.37M","-0.78%"
"Feb 11, 2022","81.77","91.20","92.56","80.01","2.66M","-10.35%"
"Feb 10, 2022","91.20","90.07","95.00","85.19","3.07M","1.26%"
"Feb 09, 2022","90.07","86.22","91.95","84.63","2.01M","4.47%"
"Feb 08, 2022","86.22","83.18","92.50","81.74","5.95M","3.65%"
"Feb 07, 2022","83.18","78.97","85.32","77.46","2.11M","5.33%"
"Feb 06, 2022","78.97","77.01","79.06","74.26","1.23M","2.37%"
"Feb 05, 2022","77.14","77.77","80.84","75.00","1.92M","-0.80%"
"Feb 04, 2022","77.77","68.41","77.78","67.48","2.61M","13.96%"
"Feb 03, 2022","68.24","67.79","69.16","65.01","2.00M","0.67%"
"Feb 02, 2022","67.79","73.30","74.84","67.50","2.52M","-7.52%"
"Feb 01, 2022","73.30","69.87","73.84","68.58","2.18M","4.92%"
"Jan 31, 2022","69.87","68.00","70.60","64.29","1.96M","2.74%"
"Jan 30, 2022","68.00","71.80","72.33","66.92","1.44M","-5.29%"
"Jan 29, 2022","71.80","67.01","73.47","66.88","1.82M","7.07%"
"Jan 28, 2022","67.06","64.59","67.37","61.79","1.96M","3.84%"
"Jan 27, 2022","64.59","65.75","67.87","61.25","2.79M","-1.78%"
"Jan 26, 2022","65.76","67.96","73.38","64.39","3.81M","-3.25%"
"Jan 25, 2022","67.96","62.97","70.49","61.74","2.94M","7.92%"
"Jan 24, 2022","62.98","64.82","64.82","55.20","4.08M","-2.78%"
"Jan 23, 2022","64.78","59.85","66.86","59.15","3.17M","8.23%"
"Jan 22, 2022","59.85","66.06","67.47","53.19","5.59M","-9.56%"
"Jan 21, 2022","66.18","79.41","80.30","64.19","3.76M","-16.67%"
"Jan 20, 2022","79.41","82.60","87.73","78.83","1.34M","-4.01%"
"Jan 19, 2022","82.73","86.03","86.36","81.22","1.27M","-3.84%"
"Jan 18, 2022","86.03","86.67","87.38","83.74","1.17M","-0.73%"
"Jan 17, 2022","86.66","92.30","92.47","85.44","1.45M","-6.06%"
"Jan 16, 2022","92.25","93.07","94.87","91.82","1.07M","-0.88%"
"Jan 15, 2022","93.07","90.41","94.37","89.53","1.04M","2.97%"
"Jan 14, 2022","90.39","89.59","91.68","87.33","1.36M","0.90%"
"Jan 13, 2022","89.59","95.96","97.20","89.13","1.65M","-6.64%"
"Jan 12, 2022","95.96","89.56","96.87","88.82","2.02M","7.15%"
"Jan 11, 2022","89.56","84.43","90.90","83.25","1.62M","6.07%"
"Jan 10, 2022","84.43","89.33","90.94","80.47","3.14M","-5.50%"
"Jan 09, 2022","89.35","83.90","91.81","82.59","2.03M","6.50%"
"Jan 08, 2022","83.90","86.56","89.50","79.42","2.74M","-3.05%"
"Jan 07, 2022","86.54","95.18","95.48","85.28","2.87M","-9.09%"
"Jan 06, 2022","95.19","97.39","97.90","91.10","1.82M","-2.25%"
"Jan 05, 2022","97.38","103.29","106.55","90.73","2.52M","-5.72%"
"Jan 04, 2022","103.29","108.07","109.16","102.94","1.85M","-4.42%"
"Jan 03, 2022","108.07","113.07","114.09","106.05","1.66M","-4.42%"
"Jan 02, 2022","113.07","114.22","117.41","112.09","1.26M","-1.02%"
"Jan 01, 2022","114.23","109.53","114.43","108.57","1.34M","4.29%"
"Dec 31, 2021","109.53","101.74","111.60","100.34","2.70M","7.65%"
"Dec 30, 2021","101.74","103.04","105.36","98.43","2.11M","-1.25%"
"Dec 29, 2021","103.04","107.05","110.52","102.54","2.21M","-3.74%"
"Dec 28, 2021","107.04","113.73","116.56","104.60","3.11M","-5.87%"
"Dec 27, 2021","113.71","115.03","120.83","113.42","1.93M","-1.15%"
